4.79	3.93	
2.64	2.86	
3.37	4.32	
4.44	3.97	
2.44	4.09	
5.84	4.98	
2.70	1.99	
5.19	4.18	
4.55	2.23	
3.79	2.00	
4.72	4.75	
4.51	3.60	
3.47	2.57	
2.68	1.68	
2.23	4.06	
3.51	3.67	
5.55	3.31	
2.00	4.46	
3.94	2.95	
4.42	4.18	
3.29	2.79	
3.28	2.26	
3.27	3.30	
5.04	0.94	
4.83	2.26	
3.62	3.78	
2.62	3.00	
3.89	4.78	
1.24	2.24	
3.29	1.66	
4.01	2.18	
3.17	3.48	
5.51	2.53	
4.72	2.31	
3.86	3.71	
3.26	3.79	
4.07	2.64	
3.53	4.27	
2.85	4.28	
3.71	4.80	
5.11	2.43	
3.35	4.71	
2.65	3.47	
5.11	4.90	
1.52	2.76	
4.27	2.48	
3.55	3.38	
4.91	2.34	
3.48	3.65	
2.22	0.80	
4.57	2.51	
3.08	3.54	
5.19	1.72	
4.54	3.48	
3.82	3.93	
2.87	3.56	
3.39	2.55	
3.03	2.37	
4.77	2.51	
4.89	3.15	
5.12	3.50	
1.67	3.71	
3.20	3.01	
3.66	2.11	
2.99	3.53	
5.87	2.37	
4.37	3.03	
5.20	2.35	
3.43	4.13	
2.22	3.67	
2.45	2.90	
5.10	3.43	
2.50	2.69	
2.58	2.23	
1.83	1.48	
4.20	3.08	
3.61	4.16	
3.64	2.59	
4.20	1.93	
3.81	2.06	
1.98	2.50	
2.29	3.23	
5.22	1.79	
5.08	4.19	
3.58	2.12	
4.60	4.39	
3.81	2.75	
4.13	3.94	
4.21	2.74	
2.77	1.96	
2.78	2.22	
4.02	3.56	
3.56	3.72	
3.25	3.27	
3.84	3.61	
0.93	2.80	
4.06	3.01	
4.12	2.61	
2.79	2.50	
3.30	3.35	
3.84	1.25	
1.19	2.72	
4.71	3.71	
3.23	3.54	
5.45	4.76	
2.79	3.30	
3.11	3.85	
2.82	3.42	
3.32	2.28	
5.43	3.97	
2.04	2.52	
4.08	2.95	
3.77	1.18	
3.34	1.55	
3.03	1.94	
3.55	2.67	
2.31	4.67	
5.71	1.56	
5.13	4.28	
3.72	2.95	
4.37	2.63	
2.07	2.27	
5.45	2.57	
3.58	3.86	
2.30	3.41	
3.37	2.17	
3.27	4.07	
4.20	3.12	
2.23	3.81	
3.42	1.51	
5.36	2.66	
4.32	4.58	
3.32	3.70	
5.53	2.54	
2.79	2.58	
4.15	1.80	
3.14	3.98	
4.43	4.86	
3.16	2.75	
3.06	2.87	
3.55	1.85	
3.89	4.54	
1.94	3.72	
4.64	4.55	
2.52	3.64	
2.95	3.90	
4.95	3.36	
4.03	1.67	
2.60	3.21	
4.01	4.89	
3.91	2.11	
4.32	3.10	
5.17	4.69	
4.19	4.11	
3.50	0.56	
3.30	2.71	
3.31	2.15	
4.82	1.58	
5.28	3.15	
5.02	3.29	
4.84	2.32	
4.51	3.15	
5.10	1.90	
5.00	5.29	
4.01	3.02	
5.37	4.96	
3.48	1.58	
2.74	4.45	
3.05	1.97	
2.12	3.66	
2.76	1.42	
4.40	3.58	
5.35	2.17	
2.17	2.87	
3.41	2.77	
2.92	2.70	
3.81	3.44	
4.43	2.87	
4.32	2.31	
6.41	2.77	
4.80	1.59	
3.33	3.91	
4.34	2.87	
3.26	3.80	
3.64	2.35	
4.64	3.69	
2.26	2.47	
3.61	2.09	
5.21	2.83	
5.20	2.15	
4.11	1.41	
1.83	3.31	
5.23	2.06	
4.69	2.33	
1.93	0.48	
3.57	5.01	
4.52	1.31	
2.57	4.04	
4.87	2.80	
4.96	2.75	
4.38	2.93	
